"","country_code","country","region","year","life_expect","life_exp60","adult_mortality","infant_mort","age1_4mort","alcohol","bmi","age5_19thinness","age5_19obesity","hepatitis","measles","polio","diphtheria","basic_water","doctors","hospitals","gni_capita","gghe_d","che_gdp","une_pop","une_infant","une_life","une_hiv","une_gni","une_poverty","une_edu_spend","une_literacy","une_school","PM_value","income_group","health_exp","Developed / Developing Countries"
"11","AFG","Afghanistan","Eastern Mediterranean",2010,61.17996,15.94069,254.7747,0.06988,0.00667999999999999,0.0115,22.7,18.6,1.8,66,62,66,66,48.35636,2.365,NA,1610,0.46916,8.56967,29185.507,64.3,61.028,0.1,1640,NA,3.47945,NA,NA,100,"Low income",NA,"Developing"
"12","AFG","Afghanistan","Eastern Mediterranean",2011,61.72234,16.01989,248.1654,0.067105,0.00627,0.00992,22.8,18.4,2,68,64,68,68,50.92731,2.518,NA,1700,0.48,8.56191,30117.413,61.9,61.553,0.1,1620,NA,3.46201,31.74112,NA,100,"Low income",NA,"Developing"
"13","AFG","Afghanistan","Eastern Mediterranean",2012,62.20652,16.08378,242.3307,0.06452,0.005905,0.00984,22.9,18.2,2.2,67,59,67,67,53.5317,2.414,NA,1940,0.34289,7.89718,31161.376,59.5,62.054,0.1,1810,NA,2.6042,NA,NA,100,"Low income",NA,"Developing"
"14","AFG","Afghanistan","Eastern Mediterranean",2013,62.74349,16.16187,235.4626,0.062045,0.005535,0.00977,23,17.9,2.4,64,57,64,64,56.16964,2.846,0.36659,2000,0.44336,8.80594,32269.589,57.3,62.525,0.1,1880,NA,3.45446,NA,NA,100,"Low income",NA,"Developing"
"15","AFG","Afghanistan","Eastern Mediterranean",2014,62.96962,16.21,234.3186,0.059775,0.00522,0.00799,23.2,17.7,2.6,62,60,62,62,58.84123,2.983,NA,NA,0.47266,9.52887,33370.794,55.1,62.966,0.1,1900,NA,3.69522,NA,NA,100,"Low income",NA,"Developing"
"16","AFG","Afghanistan","Eastern Mediterranean",2015,63.18307,16.27761,233.1531,0.05759,0.00495,0.00221999999999999,23.3,17.5,2.8,65,63,69,65,61.54693,2.85,NA,NA,0.52267,10.10535,34413.603,53.1,63.377,0.1,1900,NA,3.2558,NA,NA,100,"Low income",NA,"Developing"
"17","AFG","Afghanistan","Eastern Mediterranean",2016,62.68935,16.29114,245.2249,0.055645,0.004715,0.01652,23.4,17.2,3.1,66,64,73,66,64.28648,2.782,NA,NA,0.55663,10.96198,35383.032,51.2,63.763,0.1,1910,NA,4.22836,NA,NA,100,"Low income",NA,"Developing"
"18","AGO","Angola","Africa",2000,47.3373,14.734,383.5583,0.137985,0.025695,1.47439,21.7,11,0.5,NA,32,21,31,41.14431,NA,NA,2190,1.11099,1.9086,16395.473,122.2,46.522,1,2530,32.3,2.60753,NA,NA,100,"Lower middle income",NA,"Developing"
"19","AGO","Angola","Africa",2001,48.19789,14.95963,372.3876,0.133675,0.0245,1.94025,21.8,10.9,0.5,NA,60,28,42,42.25467,NA,NA,2290,2.04631,4.48352,16945.753,118.9,47.059,1.1,2630,NA,NA,67.40542,NA,NA,"Lower middle income",NA,"Developing"
"20","AGO","Angola","Africa",2002,49.42569,15.2001,354.5147,0.12832,0.02326,2.07512,21.9,10.7,0.6,NA,59,22,47,43.3768,NA,NA,2690,1.30863,3.32946,17519.417,115.1,47.702,1.2,3180,NA,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"21","AGO","Angola","Africa",2003,50.50266,15.39144,343.2169,0.12204,0.021925,2.20275,22,10.5,0.7,NA,44,21,46,44.36387,NA,NA,2820,1.4656,3.54797,18121.479,110.8,48.44,1.3,3260,NA,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"22","AGO","Angola","Africa",2004,51.52863,15.5686,333.8711,0.1157,0.020545,2.41274,22.2,10.3,0.8,NA,43,18,47,45.35134,0.621,NA,3080,1.68663,3.9672,18758.145,106.2,49.263,1.3,3560,NA,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"23","AGO","Angola","Africa",2005,52.72512,15.75107,322.7077,0.109205,0.018945,3.4864,22.3,10.2,0.8,NA,21,14,47,46.33602,NA,NA,3570,1.27876,2.8522,19433.602,101.3,50.165,1.4,4060,NA,2.12011,NA,NA,100,"Lower middle income",NA,"Developing"
"24","AGO","Angola","Africa",2006,53.82273,15.92263,313.7094,0.10312,0.01736,4.02043,22.4,10,0.9,NA,21,8,44,47.15023,NA,NA,4260,1.44412,2.68554,20149.901,96.2,51.143,1.5,4450,NA,2.28146,NA,NA,NA,"Lower middle income",NA,"Developing"
"25","AGO","Angola","Africa",2007,54.97549,16.09804,302.8322,0.09685,0.01592,4.67969,22.5,9.8,1,43,58,43,48,47.96147,NA,NA,5320,1.72199,2.97439,20905.363,91,52.177,1.6,5030,NA,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"26","AGO","Angola","Africa",2008,56.12413,16.28414,292.1559,0.090765,0.014585,5.19452,22.6,9.6,1.2,45,48,36,49,48.7704,NA,NA,5720,2.13844,3.3229,21695.634,85.8,53.243,1.6,5260,30.1,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"27","AGO","Angola","Africa",2009,57.29004,16.48146,281.0492,0.0848,0.01331,6.11778,22.7,9.4,1.3,47,46,36,50,49.57516,1.313,NA,6200,2.60046,3.84261,22514.281,80.7,54.311,1.7,5500,NA,NA,NA,NA,NA,"Lower middle income",NA,"Developing"
"28","AGO","Angola","Africa",2010,58.43673,16.68662,269.7017,0.079385,0.012125,6.82834,22.8,9.2,1.4,49,62,56,51,50.37684,NA,NA,6230,1.6741,2.6951,23356.246,76,55.35,1.7,5630,NA,3.42132,NA,NA,100,"Lower middle income",NA,"Developing"
"29","AGO","Angola","Africa",2011,59.48177,16.86637,260.1031,0.07452,0.010985,6.95248,22.9,9.1,1.5,50,57,50,52,51.17484,NA,NA,6430,1.71322,2.64561,24220.661,71.5,56.33,1.8,5800,NA,NA,NA,NA,100,"Lower middle income",NA,"Developing"
"30","AGO","Angola","Africa",2012,60.3572,17.01714,253.1881,0.07023,0.010025,7.14191,23,8.9,1.7,52,65,54,53,51.96854,NA,NA,6560,1.56334,2.39575,25107.931,67.3,57.236,1.8,6220,NA,NA,NA,NA,100,"Lower middle income",NA,"Developing"
"31","AGO","Angola","Africa",2013,61.03268,17.11599,249.2501,0.06638,0.009215,7.01436,23.1,8.7,1.9,54,59,48,54,52.75735,NA,NA,6770,1.69517,2.73283,26015.781,63.6,58.054,1.9,6470,NA,NA,NA,NA,100,"Lower middle income",NA,"Developing"
"32","AGO","Angola","Africa",2014,61.67921,17.21005,243.9467,0.06312,0.00856,7.48675,23.2,8.6,2,55,56,55,55,53.54151,NA,NA,NA,1.31816,2.43413,26941.779,60.5,58.776,1.9,6760,NA,NA,66.03011,3.99596,100,"Lower middle income",NA,"Developing"
"33","AGO","Angola","Africa",2015,62.22337,17.29135,239.7846,0.060405,0.007975,5.93565,23.2,8.4,2.2,55,51,57,59,54.31693,NA,NA,NA,1.23424,2.60579,27884.381,57.8,59.398,1.9,6740,NA,NA,NA,NA,100,"Lower middle income",NA,"Developing"
"34","AGO","Angola","Africa",2016,62.63262,17.34829,237.9694,0.0579,0.00752,5.38006,23.3,8.3,2.4,55,45,53,59,55.08428,NA,NA,NA,1.19754,2.71315,28842.489,55.5,59.925,1.9,6410,NA,NA,NA,NA,100,"Lower middle income",NA,"Developing"
"35","ALB","Albania","Europe",2000,73.0585,18.94168,106.099,0.023635,0.00075999999999999,3.91932,25.2,2.2,2.1,96,95,97,97,87.86662,13.821,NA,4370,2.72347,NA,3129.243,23,73.955,NA,3980,NA,3.43017,NA,NA,100,"Upper middle income",60.402,"Developed"
"36","ALB","Albania","Europe",2000,73.0585,18.94168,106.099,0.023635,0.00075999999999999,3.91932,25.2,2.2,2.1,96,95,97,97,87.86662,13.821,NA,4370,2.72347,NA,3129.243,23,73.955,NA,3980,NA,3.43017,NA,NA,100,"Upper middle income",38.617,"Developed"
"37","ALB","Albania","Europe",2000,73.0585,18.94168,106.099,0.023635,0.00075999999999999,3.91932,25.2,2.2,2.1,96,95,97,97,87.86662,13.821,NA,4370,2.72347,NA,3129.243,23,73.955,NA,3980,NA,3.43017,NA,NA,100,"Upper middle income",61.383,"Developed"
"38","ALB","Albania","Europe",2001,73.99104,19.62673,100.4158,0.02234,0.00073,4.50817,25.2,2.2,2.3,96,95,97,97,87.88955,13.1,NA,4860,2.70406,NA,3129.704,21.8,74.288,NA,4440,NA,3.4587,98.71298,8.74141,NA,"Upper middle income",57.776,"Developed"
"39","ALB","Albania","Europe",2001,73.99104,19.62673,100.4158,0.02234,0.00073,4.50817,25.2,2.2,2.3,96,95,97,97,87.88955,13.1,NA,4860,2.70406,NA,3129.704,21.8,74.288,NA,4440,NA,3.4587,98.71298,8.74141,NA,"Upper middle income",39.272,"Developed"
"40","ALB","Albania","Europe",2001,73.99104,19.62673,100.4158,0.02234,0.00073,4.50817,25.2,2.2,2.3,96,95,97,97,87.88955,13.1,NA,4860,2.70406,NA,3129.704,21.8,74.288,NA,4440,NA,3.4587,98.71298,8.74141,NA,"Upper middle income",60.728,"Developed"
"41","ALB","Albania","Europe",2002,73.54777,19.06166,102.3176,0.02119,0.000675,3.95593,25.3,2.1,2.5,96,96,98,98,87.91309,11.695,NA,5060,2.65441,NA,3126.187,20.6,74.579,NA,4780,2,3.1178,NA,NA,NA,"Upper middle income",59.709,"Developed"
"42","ALB","Albania","Europe",2002,73.54777,19.06166,102.3176,0.02119,0.000675,3.95593,25.3,2.1,2.5,96,96,98,98,87.91309,11.695,NA,5060,2.65441,NA,3126.187,20.6,74.579,NA,4780,2,3.1178,NA,NA,NA,"Upper middle income",37.946,"Developed"
"43","ALB","Albania","Europe",2002,73.54777,19.06166,102.3176,0.02119,0.000675,3.95593,25.3,2.1,2.5,96,96,98,98,87.91309,11.695,NA,5060,2.65441,NA,3126.187,20.6,74.579,NA,4780,2,3.1178,NA,NA,NA,"Upper middle income",62.054,"Developed"
"44","ALB","Albania","Europe",2003,72.90054,18.3645,106.7567,0.02034,0.00061,4.32902,25.4,2,2.7,97,93,97,97,87.92893,11.863,NA,5490,2.6013,NA,3118.023,19.4,74.828,NA,5130,NA,3.13824,NA,NA,NA,"Upper middle income",54.015,"Developed"
"45","ALB","Albania","Europe",2003,72.90054,18.3645,106.7567,0.02034,0.00061,4.32902,25.4,2,2.7,97,93,97,97,87.92893,11.863,NA,5490,2.6013,NA,3118.023,19.4,74.828,NA,5130,NA,3.13824,NA,NA,NA,"Upper middle income",41.983,"Developed"
"46","ALB","Albania","Europe",2003,72.90054,18.3645,106.7567,0.02034,0.00061,4.32902,25.4,2,2.7,97,93,97,97,87.92893,11.863,NA,5490,2.6013,NA,3118.023,19.4,74.828,NA,5130,NA,3.13824,NA,NA,NA,"Upper middle income",58.017,"Developed"
"47","ALB","Albania","Europe",2004,73.26067,18.57922,101.34,0.019395,0.00061,4.42241,25.5,1.9,3,99,96,98,97,87.93703,11.913,NA,5980,3.05427,NA,3104.892,18.3,75.039,NA,5550,NA,3.22752,NA,NA,NA,"Upper middle income",52.658,"Developed"
"48","ALB","Albania","Europe",2004,73.26067,18.57922,101.34,0.019395,0.00061,4.42241,25.5,1.9,3,99,96,98,97,87.93703,11.913,NA,5980,3.05427,NA,3104.892,18.3,75.039,NA,5550,NA,3.22752,NA,NA,NA,"Upper middle income",44.248,"Developed"
"49","ALB","Albania","Europe",2004,73.26067,18.57922,101.34,0.019395,0.00061,4.42241,25.5,1.9,3,99,96,98,97,87.93703,11.913,NA,5980,3.05427,NA,3104.892,18.3,75.039,NA,5550,NA,3.22752,NA,NA,NA,"Upper middle income",55.752,"Developed"
"50","ALB","Albania","Europe",2005,73.4756,18.93037,105.6753,0.018605,0.000565,4.98452,25.6,1.9,3.3,98,97,97,98,87.93683,NA,NA,6530,2.67359,NA,3086.81,17.1,75.228,NA,5980,1.1,3.28155,NA,NA,100,"Upper middle income",52.526,"Developed"
"51","ALB","Albania","Europe",2005,73.4756,18.93037,105.6753,0.018605,0.000565,4.98452,25.6,1.9,3.3,98,97,97,98,87.93683,NA,NA,6530,2.67359,NA,3086.81,17.1,75.228,NA,5980,1.1,3.28155,NA,NA,100,"Upper middle income",44.266,"Developed"
"52","ALB","Albania","Europe",2005,73.4756,18.93037,105.6753,0.018605,0.000565,4.98452,25.6,1.9,3.3,98,97,97,98,87.93683,NA,NA,6530,2.67359,NA,3086.81,17.1,75.228,NA,5980,1.1,3.28155,NA,NA,100,"Upper middle income",55.734,"Developed"
"53","ALB","Albania","Europe",2006,73.89628,18.9677,100.7193,0.01777,0.00050999999999999,5.16917,25.7,1.8,3.6,98,95,97,97,87.92856,11.838,NA,7410,2.58372,NA,3063.021,16,75.423,NA,6750,NA,3.19146,NA,NA,NA,"Upper middle income",51.347,"Developed"
"54","ALB","Albania","Europe",2006,73.89628,18.9677,100.7193,0.01777,0.00050999999999999,5.16917,25.7,1.8,3.6,98,95,97,97,87.92856,11.838,NA,7410,2.58372,NA,3063.021,16,75.423,NA,6750,NA,3.19146,NA,NA,NA,"Upper middle income",45.411,"Developed"
"55","ALB","Albania","Europe",2006,73.89628,18.9677,100.7193,0.01777,0.00050999999999999,5.16917,25.7,1.8,3.6,98,95,97,97,87.92856,11.838,NA,7410,2.58372,NA,3063.021,16,75.423,NA,6750,NA,3.19146,NA,NA,NA,"Upper middle income",54.589,"Developed"
"56","ALB","Albania","Europe",2007,74.06049,19.15334,101.3226,0.017085,0.00049,5.46139,25.8,1.7,3.9,98,97,99,98,87.91208,11.951,NA,7940,2.65326,NA,3033.998,14.9,75.646,NA,7480,NA,3.27593,NA,NA,NA,"Upper middle income",55.977,"Developed"
"57","ALB","Albania","Europe",2007,74.06049,19.15334,101.3226,0.017085,0.00049,5.46139,25.8,1.7,3.9,98,97,99,98,87.91208,11.951,NA,7940,2.65326,NA,3033.998,14.9,75.646,NA,7480,NA,3.27593,NA,NA,NA,"Upper middle income",41.379,"Developed"
"58","ALB","Albania","Europe",2007,74.06049,19.15334,101.3226,0.017085,0.00049,5.46139,25.8,1.7,3.9,98,97,99,98,87.91208,11.951,NA,7940,2.65326,NA,3033.998,14.9,75.646,NA,7480,NA,3.27593,NA,NA,NA,"Upper middle income",58.621,"Developed"
"59","ALB","Albania","Europe",2008,74.21777,19.35164,102.2168,0.0164,0.000495,5.56237,25.9,1.7,4.2,99,98,99,99,87.88725,NA,NA,8920,4.12213,NA,3002.678,13.9,75.912,NA,8270,0.4,NA,95.93864,9.16803,NA,"Upper middle income",53.068,"Developed"
"60","ALB","Albania","Europe",2008,74.21777,19.35164,102.2168,0.0164,0.000495,5.56237,25.9,1.7,4.2,99,98,99,99,87.88725,NA,NA,8920,4.12213,NA,3002.678,13.9,75.912,NA,8270,0.4,NA,95.93864,9.16803,NA,"Upper middle income",45.681,"Developed"
"61","ALB","Albania","Europe",2008,74.21777,19.35164,102.2168,0.0164,0.000495,5.56237,25.9,1.7,4.2,99,98,99,99,87.88725,NA,NA,8920,4.12213,NA,3002.678,13.9,75.912,NA,8270,0.4,NA,95.93864,9.16803,NA,"Upper middle income",54.319,"Developed"
"62","ALB","Albania","Europe",2009,74.43785,19.60177,102.8193,0.015715,0.00047,5.79202,26,1.6,4.5,98,97,98,98,87.85342,12.297,NA,9370,4.08352,NA,2973.048,12.9,76.221,NA,8670,NA,NA,NA,NA,NA,"Upper middle income",47.114,"Developed"
"63","ALB","Albania","Europe",2009,74.43785,19.60177,102.8193,0.015715,0.00047,5.79202,26,1.6,4.5,98,97,98,98,87.85342,12.297,NA,9370,4.08352,NA,2973.048,12.9,76.221,NA,8670,NA,NA,NA,NA,NA,"Upper middle income",50.941,"Developed"
"64","ALB","Albania","Europe",2009,74.43785,19.60177,102.8193,0.015715,0.00047,5.79202,26,1.6,4.5,98,97,98,98,87.85342,12.297,NA,9370,4.08352,NA,2973.048,12.9,76.221,NA,8670,NA,NA,NA,NA,NA,"Upper middle income",49.059,"Developed"
"65","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",4.746,"Developed"
"66","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",2.247,"Developed"
"67","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",2.442,"Developed"
"68","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",2.304,"Developed"
"69","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",47.342,"Developed"
"70","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",51.445,"Developed"
"71","ALB","Albania","Europe",2010,74.65688,19.84952,103.476,0.014895,0.000475,5.28043,26.1,1.5,4.9,99,99,99,99,87.81129,12.347,NA,9390,4.47086,NA,2948.023,11.9,76.562,NA,9530,NA,NA,NA,NA,100,"Upper middle income",48.555,"Developed"
"72","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",4.795,"Developed"
"73","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",2.376,"Developed"
"74","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",2.387,"Developed"
"75","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",2.408,"Developed"
"76","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",49.543,"Developed"
"77","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",49.779,"Developed"
"78","ALB","Albania","Europe",2011,75.11165,20.22721,103.2177,0.014115,0.00045,5.42194,26.2,1.5,5.3,99,99,99,99,87.76034,12.217,NA,10090,4.26704,NA,2928.592,11,76.914,NA,10210,NA,NA,96.8453,9.90485,100,"Upper middle income",50.221,"Developed"
"79","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",5.055,"Developed"
"80","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",2.547,"Developed"
"81","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",2.474,"Developed"
"82","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",2.581,"Developed"
"83","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",50.384,"Developed"
"84","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",48.941,"Developed"
"85","ALB","Albania","Europe",2012,75.17789,19.93672,103.188,0.01319,0.00042,4.73955,26.3,1.4,5.7,99,98,99,99,87.86044,12.683,NA,10080,4.05977,NA,2914.096,10.2,77.252,NA,10450,1.1,NA,97.24697,10.14573,100,"Upper middle income",51.059,"Developed"
"86","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",5.386,"Developed"
"87","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",2.74,"Developed"
"88","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",2.605,"Developed"
"89","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",2.78,"Developed"
"90","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",50.882,"Developed"
"91","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",48.374,"Developed"
"92","ALB","Albania","Europe",2013,75.73643,20.39076,100.3286,0.012255,0.000425,4.54491,26.4,1.3,6.1,99,99,99,99,89.46109,12.773,1.35507,10520,4.30876,NA,2903.79,9.5,77.554,NA,10750,NA,3.5393,NA,NA,100,"Upper middle income",51.626,"Developed"
"93","ALB","Albania","Europe",2014,76.14056,20.69539,98.31907,0.0116,4e-04,4.32975,26.5,1.3,6.6,98,98,98,98,90.9812,NA,NA,NA,4.43232,NA,2896.305,8.9,77.813,NA,11360,NA,NA,NA,NA,100,"Upper middle income",5.503,"Developed"
